,name,salary,rating,numOfrates
353,csc,90619.7,2.9052173913043484,13.2
354,csg,73951.68181818182,4.5,2.0
355,csg talent,130627.0,3.0,2.0
356,cvs group,93024.0,2.6,5.0
358,cactus communications,52891.25,1.0,2.0
359,calzedonia group,59942.555555555555,3.0,3.0
360,cambridge consultants,71957.0,4.277777777777779,18.0
361,cambridge university press,88500.46666666666,3.789473684210527,19.0
362,camelot group,66503.83333333333,4.055555555555556,18.0
363,cameron,106765.0,3.5,2.0
365,cancer research uk,84541.0,3.2564102564102564,39.0
366,canon,72670.88461538461,3.1428571428571432,7.0
367,canon emea,72545.42307692308,3.657142857142858,35.0
368,canonical,45437.333333333336,2.6666666666666665,9.0
369,capco,73702.53125,4.035714285714283,28.0
370,cape,72454.4,2.0,3.0
371,capgemini,70186.7972027972,3.8378378378378244,111.0
372,capita,81021.76,2.6599999999999984,250.0
373,capital group,76623.5,3.6666666666666656,6.0
374,capital one,72922.7843137255,4.461538461538459,26.0
375,captify,75443.6,3.3,10.0
376,carbon60,78390.25,3.625,8.0
377,cardiff metropolitan university,38790.666666666664,4.0,2.0
378,cardiff university,79569.0,3.3529411764705883,17.0
379,care quality commission,36945.0,3.1,10.0
380,caresoft global,35861.0,4.0,2.0
381,cargill,69035.50322580645,3.2857142857142807,7.0
382,carlsberg group,25323.0,4.6,5.0
383,carlson wagonlit travel,79585.54166666667,3.4000000000000004,5.0
384,carrington west,79406.33333333333,4.5,4.0
385,caterpillar,80856.14285714286,3.3999999999999995,5.0
386,cathay pacific,73107.33333333333,4.0,6.0
388,celgene,60652.6,4.666666666666666,3.0
389,cello health insight,79185.66666666667,4.5,2.0
390,central manchester university hospitals,76898.33333333333,2.333333333333333,3.0
391,centrica,102871.25,3.8524590163934422,61.0
392,centurylink,91017.5,3.090909090909091,12.0
393,ceridian,98547.5,4.25,4.0
394,cerner,74456.72222222222,3.3888888888888875,18.0
395,certus recruitment group,125180.0,3.6,5.0
396,chanel,71346.46153846153,4.0,7.0
397,channel 4,74285.2,3.9090909090909087,11.0
398,channeladvisor,73066.71428571429,3.666666666666667,6.0
399,chapman black,50635.0,3.333333333333333,6.0
400,chapman freeborn,86109.33333333333,4.8,5.0
401,charles river development,107863.66666666667,2.6666666666666665,3.0
402,charles river laboratories,80509.0,2.666666666666666,3.0
403,check point software technologies,77406.86206896552,3.3333333333333326,3.0
